City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Ust-Kut,RU,56.7938,105.7672,43.84,92,100,10.51,light rain
183,Lasa,IT,46.6166,10.7002,60.37,41,3,5.39,clear sky
184,Faya,SA,18.3851,42.4509,66.31,66,84,9.64,broken clouds
185,Marfino,RU,55.7028,37.3822,52.05,76,75,6.71,broken clouds
186,Moanda,GA,-1.5575,13.2178,78.22,86,79,2.51,light rain
187,Leningradskiy,RU,69.3833,178.4167,29.68,85,8,8.46,clear sky
188,Banda Aceh,ID,5.5577,95.3222,79.5,82,70,6.42,broken clouds
189,Yumen,CN,40.2833,97.2,65.98,29,0,6.46,clear sky
190,Sisimiut,GL,66.9395,-53.6735,39.2,86,99,9.55,overcast clouds
191,Dumas,US,35.8656,-101.9732,80.74,50,0,20.71,clear sky
192,Greymouth,NZ,-42.4667,171.2,48.85,94,98,6.31,overcast clouds
193,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.53,58,3,8.95,clear sky
194,Songjianghe,CN,42.1859,127.479,33.84,79,0,4.5,clear sky
195,Fortuna,US,40.5982,-124.1573,57.92,90,100,1.01,overcast clouds
196,Labuhan,ID,-6.8844,112.2051,80.38,73,100,2.84,overcast clouds
197,San Quintin,MX,30.4833,-115.95,70.7,76,8,11.27,clear sky
198,Yar-Sale,RU,66.8333,70.8333,45.01,96,100,22.01,light rain
199,Longyearbyen,SJ,78.2186,15.6401,37.24,65,40,21.85,scattered clouds
200,Vila Velha,BR,-20.3297,-40.2925,85.95,60,0,13,clear sky
201,Polotnyanyy Zavod,RU,54.7214,35.9661,50.5,74,28,5.17,scattered clouds
202,Jacareacanga,BR,-6.2222,-57.7528,101.03,24,0,4.99,clear sky
203,Paamiut,GL,61.994,-49.6678,40.55,84,42,20.24,scattered clouds
204,Pangnirtung,CA,66.1451,-65.7125,36.81,70,23,6.38,few clouds
205,Minudasht,IR,37.2289,55.3747,86.32,47,0,0,clear sky
206,Cortes,ES,41.9395,-1.4396,83.48,16,0,14.72,clear sky
207,Lapua,FI,62.9693,23.0088,45.28,74,100,7.67,overcast clouds
208,Bitung,ID,1.4451,125.1824,76.05,82,100,7.16,overcast clouds
209,Kamenka,RU,51.3223,42.7678,57.04,50,2,5.59,clear sky
210,Karratha,AU,-20.7377,116.8463,69.94,43,0,7.16,clear sky
211,Sitka,US,57.0531,-135.33,53.49,82,75,4.61,broken clouds
212,Thanh Hoa,VN,19.8,105.7667,78.42,89,100,0.92,overcast clouds
213,Viedma,AR,-40.8135,-62.9967,52.75,48,49,23.44,scattered clouds
214,Bintulu,MY,3.1667,113.0333,76.55,90,100,2.8,overcast clouds
215,Kostino,RU,58.9097,53.2691,54.55,66,5,9.75,clear sky
216,Filingue,NE,14.3521,3.3168,90.36,46,44,15.84,scattered clouds
217,Baiyin,CN,36.5583,104.2081,60.67,43,48,1.63,scattered clouds
218,Sapa,PH,5.1544,120.3241,82.15,72,72,2.15,broken clouds
219,Nabire,ID,-3.3667,135.4833,75.25,92,100,2.24,light rain
220,Amga,RU,60.8953,131.9608,24.49,79,1,3.94,clear sky
221,Pisco,PE,-13.7,-76.2167,64.45,72,20,10.36,few clouds
222,East London,ZA,-33.0153,27.9116,59.94,88,40,4.61,scattered clouds
223,Henties Bay,NA,-22.116,14.2845,62.28,54,0,13.44,clear sky
224,Mount Isa,AU,-20.7333,139.5,71.37,94,100,10.36,heavy intensity rain
225,Qandala,SO,11.472,49.8728,88.39,59,75,3.85,broken clouds
226,George Town,MY,5.4112,100.3354,82.33,89,20,0,few clouds
227,Ous,RU,60.9058,61.5186,57.52,78,86,9.51,overcast clouds
228,New Norfolk,AU,-42.7826,147.0587,53.71,69,100,1.99,overcast clouds
229,Aguimes,ES,27.9054,-15.4461,75.83,73,20,10.36,few clouds
230,Tiksi,RU,71.6872,128.8694,34.23,85,100,12.3,light snow
231,Puri,IN,19.8,85.85,81.12,81,35,14.09,scattered clouds
232,Cabo San Lucas,MX,22.8909,-109.9124,84.06,86,100,17.27,overcast clouds
233,Petropavlovka,RU,50.6114,105.3196,48.07,80,100,3.89,overcast clouds
234,Dongzhen,CN,22.3797,110.9389,77.04,83,91,1.92,overcast clouds
235,Wasilla,US,61.5814,-149.4394,48.02,95,100,4.61,light rain
236,Melendugno,IT,40.2747,18.3368,72.05,64,40,10.36,scattered clouds
237,Mayahi,NE,13.9553,7.6712,92.03,38,68,6.46,broken clouds
238,Valparaiso,CL,-33.0393,-71.6273,59.23,84,40,5.75,scattered clouds
239,Challans,FR,46.8436,-1.8749,70.72,37,49,12.39,scattered clouds
240,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,20,19.57,few clouds
241,Udachnyy,RU,66.4167,112.4,27.77,94,100,17.56,light snow
242,Bulolo,PG,-7.2,146.65,68.04,92,97,1.9,overcast clouds
243,Ndende,GA,-2.4008,11.3581,81.84,67,100,5.86,light rain
244,Kyra,RU,49.5776,111.9753,45.39,68,77,6.58,broken clouds
245,Sambava,MG,-14.2667,50.1667,71.78,79,1,14.27,light rain
246,Xining,CN,36.6167,101.7667,54.34,70,53,3,broken clouds
247,Ballina,AU,-28.8667,153.5667,60.01,96,100,7.94,overcast clouds
248,Leh,IN,34.1667,77.5833,59.76,24,32,5.97,scattered clouds
249,Kavaratti,IN,10.5669,72.642,81.32,77,95,14,overcast clouds
250,Alice Springs,AU,-23.7,133.8833,57.22,26,2,0,clear sky
251,Alofi,NU,-19.0595,-169.9187,75.88,77,6,25.66,light rain
252,Marzuq,YE,14.4,46.4667,82.38,49,57,10.18,broken clouds
253,Tautira,PF,-17.7333,-149.15,76.59,77,37,17.34,light rain
254,Kapoeta,SS,4.7717,33.5903,89.49,29,45,12.93,scattered clouds
255,Atambua,ID,-9.1061,124.8925,73.81,85,58,4.43,broken clouds
256,Oussouye,SN,12.485,-16.5469,78.87,85,100,2.13,moderate rain
257,Necochea,AR,-38.5473,-58.7368,53.04,49,81,18.01,broken clouds
258,Sanwer,IN,22.9833,75.8333,74.05,88,32,7.7,scattered clouds
259,Kadoma,JP,34.7333,135.5833,67.98,59,75,10.36,broken clouds
260,Omsukchan,RU,62.5333,155.8,35.15,100,100,5.1,light snow
261,Jinchang,CN,38.4953,102.1739,62.42,42,45,3.96,scattered clouds
262,Vuktyl,RU,63.8567,57.3094,53.4,67,61,15.19,broken clouds
263,Nargana,PA,9.4428,-78.5906,84.9,66,47,5.68,scattered clouds
264,Aykhal,RU,66,111.5,26.06,96,100,23.02,snow
265,Asau,RO,46.4333,26.4,54.52,67,65,5.88,broken clouds
266,Emba,KZ,48.8264,58.1442,69.57,14,0,8.68,clear sky
267,Madera,US,37.1666,-119.8343,68.23,95,51,3.29,broken clouds
268,Faanui,PF,-16.4833,-151.75,77.72,74,8,14.67,light rain
269,Ostrovnoy,RU,68.0531,39.5131,45.91,97,100,24.99,light rain
270,Gorele,TR,41.0308,39.0031,68.36,91,98,3.6,light rain
271,Bam,IR,29.106,58.357,86.72,12,6,5.68,clear sky
272,Palmer,US,42.1584,-72.3287,74.55,69,75,3.44,broken clouds
273,Tankhoy,RU,51.5528,105.1306,46.67,92,100,9.48,overcast clouds
274,Broome,US,42.2506,-75.833,67.69,87,100,9.22,overcast clouds
275,Jalu,LY,29.0331,21.5482,97.03,17,0,6.11,clear sky
276,Nanortalik,GL,60.1432,-45.2371,41.99,91,98,9.24,overcast clouds
277,Flinders,AU,-34.5833,150.8552,50.25,90,100,6.33,overcast clouds
278,Chicama,PE,-7.8447,-79.1469,59.54,63,50,9.71,scattered clouds
279,Devils Lake,US,48.1128,-98.8651,60.91,77,75,19.57,broken clouds
280,Mabaruma,GY,8.2,-59.7833,91.47,50,90,6.17,overcast clouds
281,Kadi,IN,23.3,72.3333,85.86,59,47,7.47,scattered clouds
282,Chuy,UY,-33.6971,-53.4616,58.73,73,100,12.57,overcast clouds
283,Qiqihar,CN,47.3408,123.9672,51.12,30,65,14.32,broken clouds
